name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Brian Mast,Politician,1,Brianna Mast,14,True,Unknown
Debbie Wasserman Schultz,Politician,1,Steve Schultz,30,True,Unknown
Frederica Wilson,Politician,1,Paul Wilson,25,False,Unknown
Maria Elvira Salazar,Politician,1,Renzo Maietto,11,False,Unknown
Jody Hice,Unknown,1,Dee Dee Hice,38,True,Unknown
Barry Loudermilk,Politician,1,Desiree Loudermilk,38,True,Unknown
Marjorie Taylor Greene,Politician,1,Perry Greene,26,True,Unknown
Michael San Nicolas,Politician,1,Kathryn Santos Ko,16,True,Unknown
Ed Case,Politician,1,Audrey Nakamura,20,True,Unknown
Russ Fulcher,Politician,1,Kara,3,True,Unknown
Bobby Rush,Politician,1,Sandra Milan,8,False,Unknown
Bobby Rush,Politician,2,Carolyn Thomas,37,False,Unknown
Bobby Rush,Politician,3,Paulette Holloway,3,True,Unknown
Robin Kelly,Politician,1,Nathaniel Horn,18,True,Unknown
Marie Newman,Politician,1,Jim Newman,25,True,Unknown
Sean Casten,Politician,1,Kara,21,True,Unknown
Jan Schakowsky,Politician,1,Harvey Schakowsky,15,False,Unknown
Jan Schakowsky,Politician,2,Robert Creamer,41,True,Unknown
Brad Schneider,Politician,1,Julie Dann,32,True,Unknown
Mike Bost,Politician,1,Tracy Bost,41,True,Unknown
Adam Kinzinger,Politician,1,Sofia Boza-Holman,1,True,Unknown
Darin LaHood,Politician,1,Kristen Noble,20,True,Unknown
Jackie Walorski,Politician,1,Dean Swihart,26,True,Unknown
Jim Banks,Politician,1,Amanda Banks,16,True,Unknown
Victoria Spartz,Politician,1,Jason Spartz,21,True,Unknown
Greg Pence,Politician,1,Denise Pence,40,True,Unknown
Trey Hollingsworth,Politician,1,Kelly Francis,7,True,Unknown
Ashley Hinson,Politician,1,Matthew Hinson,13,True,Unknown
Mariannette Miller-Meeks,Politician,1,Curt Meeks,38,True,Unknown
Randy Feenstra,Politician,1,Lynette Feenstra,25,True,Unknown
Tracey Mann,Politician,1,Audrey Haynes,19,True,Unknown
Jacob LaTurner,Politician,1,Suzanne Van Gotten,12,True,Unknown
John Yarmuth,Politician,1,Catherine Creedon,40,True,Unknown
Hal Rogers,Politician,1,Shirley McDowell,37,False,Unknown
Hal Rogers,Politician,2,Cynthia Doyle,22,True,Unknown
Steve Scalise,Politician,1,Jennifer Letulle,16,True,Unknown
Clay Higgins,Politician,1,Eloisa Rovati,8,False,Unknown
Clay Higgins,Politician,2,Rosemary Rothkamm-Hambrice,8,False,Unknown
Clay Higgins,Politician,3,Kara Seymour,4,False,Unknown
Clay Higgins,Politician,4,Becca Higgins,12,True,Unknown
Julia Letlow,Politician,1,Luke Letlow,7,False,Unknown
Jared Golden,Politician,1,Isobel Moiles,6,True,Unknown
Dutch Ruppersberger,Politician,1,Kay Murphy,50,True,Unknown
John Sarbanes,Politician,1,Dina Caplan,33,True,Unknown
Steny Hoyer,Politician,1,Judith Pickett,36,False,Unknown
David Trone,Politician,1,June Trone,34,True,Unknown
Kweisi Mfume,Politician,1,Tiffany McMillan,9,True,Unknown
Jamie Raskin,Unknown,1,Sarah Bloom,31,True,Politician
Richard Neal,Politician,1,Maureen Conway,46,True,Unknown
Jake Auchincloss,Politician,1,Michelle Gattineri,4,True,Unknown
Katherine Clark,Politician,1,Rodney Dowell,29,True,Unknown
Seth Moulton,Politician,1,Liz Boardman,4,True,Unknown
Ayanna Pressley,Politician,1,Conan Harris,7,True,Unknown
