name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Rachel Weisz,Unknown,1,Daniel Craig,10,True,Unknown
Tuesday Weld,Unknown,1,Claude Harz,6,False,Unknown
Tuesday Weld,Unknown,2,Dudley Moore,5,False,Unknown
Tuesday Weld,Unknown,3,Pinchas Zukerman,13,False,Unknown
Forest Whitaker,Unknown,1,Keisha Nash,25,False,Unknown
Tom Wilkinson,Unknown,1,Diana Hardcastle,33,True,Unknown
Cara Williams,Unknown,1,Alan Gray,2,False,Unknown
Cara Williams,Unknown,2,John Drew Barrymore,7,False,Unknown
Cara Williams,Unknown,3,Asher Dann,54,False,Unknown
Debra Winger,Unknown,1,Timothy Hutton,4,False,Unknown
Debra Winger,Unknown,2,Arliss Howard,25,True,Unknown
Kate Winslet,Unknown,1,Jim Threapleton,3,False,Unknown
Kate Winslet,Unknown,2,Sam Mendes,8,False,Unknown
Kate Winslet,Unknown,3,Edward Abel Smith [a],9,True,Unknown
Reese Witherspoon,Unknown,1,Ryan Phillippe,8,False,Unknown
Reese Witherspoon,Unknown,2,Jim Toth,10,True,Unknown
Alfre Woodard,Unknown,1,Roderick Spencer,38,True,Unknown
James Woods,Unknown,1,Kathryn Morrison,3,False,Unknown
James Woods,Unknown,2,Sarah Owen,1,False,Politician
Joanne Woodward,Unknown,1,Paul Newman,50,False,Unknown
Burt Young,Unknown,1,Gloria DeLouise,13,False,Unknown
Youn Yuh-jung,Unknown,1,Jo Young-nam,13,False,Unknown
Catherine Zeta-Jones,Unknown,1,Michael Douglas,21,True,Unknown
Willie Nelson,Unknown,1,Martha Matthews,10,False,Unknown
Willie Nelson,Unknown,2,Shirley Collie,8,False,Unknown
Willie Nelson,Unknown,3,Connie Koepke,17,False,Unknown
Willie Nelson,Unknown,4,Annie D'Angelo,30,True,Unknown
Bob Dylan,Unknown,1,Sara Dylan,12,False,Unknown
Bob Dylan,Unknown,2,Carolyn Dennis,6,False,Unknown
Neil Young,Unknown,1,Susan Acevedo,2,False,Unknown
Neil Young,Unknown,2,Pegi Young,36,False,Unknown
Neil Young,Unknown,3,Daryl Hannah,3,True,Unknown
Tina Turner,Unknown,1,Ike Turner,16,False,Unknown
Tina Turner,Unknown,2,Erwin Bach,8,True,Unknown
Stevie Wonder,Unknown,1,Syreeta Wright,2,False,Unknown
Stevie Wonder,Unknown,2,Kai Millard,11,False,Unknown
Stevie Wonder,Unknown,3,Tomeeka Bracy,4,True,Unknown
Alice Cooper,Unknown,1,Sheryl Goddard,45,True,Unknown
Elton John,Unknown,1,Renate Blauel,4,False,Unknown
Elton John,Unknown,2,David Furnish,9,False,Unknown
Bruce Springsteen,Unknown,1,Julianne Phillips,4,False,Unknown
Bruce Springsteen,Unknown,2,Patti Scialfa,30,True,Unknown
Madonna,Unknown,1,Sean Penn,4,False,Unknown
Madonna,Unknown,2,Guy Ritchie,8,False,Unknown
Jay-Z,Unknown,1,Beyoncé,13,True,Unknown
Eminem,Unknown,1,Kimberly Anne Scott,2,False,Unknown
Eminem,Unknown,2,Kimberly Anne Scott,0,False,Unknown
Justin Timberlake,Unknown,1,Jessica Biel,9,True,Unknown
Justin Bieber,Unknown,1,Hailey Baldwin,3,True,Unknown
Katy Perry,Unknown,1,Russell Brand,2,False,Unknown
Justin Timberlake,Unknown,1,Jessica Biel,9,True,Unknown
Jennifer Lopez,Unknown,1,Ojani Noa,1,False,Unknown
Jennifer Lopez,Unknown,2,Cris Judd,2,False,Unknown
Jennifer Lopez,Unknown,3,Marc Anthony,10,False,Unknown
Nicki Minaj,Unknown,1,Kenneth Petty,2,True,Unknown
P!nk,Unknown,1,Carey Hart,15,True,Unknown
Marshall Mathers,Unknown,1,Kimberly Anne Scott,2,False,Unknown
Marshall Mathers,Unknown,2,Kimberly Anne Scott,0,False,Unknown
Adele,Unknown,1,Simon Konecki,5,False,Unknown
Alicia Keys,Unknown,1,Swizz Beatz,11,True,Unknown
Miley Ray Cyrus,Unknown,1,Liam Hemsworth,2,False,Unknown
Snoop Dogg,Unknown,1,Shante Taylor,7,False,Unknown
Snoop Dogg,Unknown,2,Shante Taylor,13,True,Unknown
Mariah Carey,Unknown,1,Tommy Mottola,5,False,Unknown
Mariah Carey,Unknown,2,Nick Cannon,8,False,Unknown
Wiz Khalifa,Unknown,1,Amber Rose,3,False,Unknown
Avril Lavigne,Unknown,1,Deryck Whibley,4,False,Unknown
Avril Lavigne,Unknown,2,Chad Kroeger,2,False,Unknown
Ashley Tisdale,Unknown,1,Christopher French,7,True,Unknown
Ricky Martin,Unknown,1,Jwan Yosef,4,True,Unknown
David Guetta,Unknown,1,Cathy Guetta,22,False,Unknown
Ivete Sangalo,Unknown,1,Davi Moraes,2,False,Unknown
Ivete Sangalo,Unknown,2,Daniel Cady,10,True,Unknown
Beyoncé Knowles,Unknown,1,Jay-Z,13,True,Unknown
Ludacris,Unknown,1,Eudoxie Mbouguiengue,7,True,Unknown
Paulina Rubio,Unknown,1,Nicolás Vallejo-Nágera,6,False,Unknown
Jessica Simpson,Unknown,1,Nick Lachey,4,False,Unknown
Jessica Simpson,Unknown,2,Eric Johnson,7,True,Unknown
Ed Sheeran,Unknown,1,Cherry Seaborn,2,True,Unknown
Nick Jonas,Unknown,1,Priyanka Chopra,3,True,Unknown
joe jonas,Unknown,1,Sophie Turner,2,True,Unknown
Jason Mraz,Unknown,1,Sheridan Edley,1,False,Unknown
Jason Mraz,Unknown,2,Christina Carano,6,True,Unknown
Kelly Rowland,Unknown,1,Tim Weatherspoon,7,True,Unknown
Luis Fonsi,Unknown,1,Adamari López,4,False,Unknown
Luis Fonsi,Unknown,2,Águeda López,7,True,Unknown
Daddy Yankee,Unknown,1,Mireddys González,26,True,Unknown
Christina Aguilera,Unknown,1,Jordan Bratman,6,False,Unknown
Lenny Kravitz,Unknown,1,Lisa Bonet,6,False,Unknown
John Legend,Unknown,1,Chrissy Teigen,8,True,Unknown
Lily Allen,Unknown,1,Sam Cooper,7,False,Unknown
Lily Allen,Unknown,2,David Harbour,1,True,Unknown
Adam Levine,Unknown,1,Behati Prinsloo,7,True,Unknown
Sandy Leah,Unknown,1,Lucas Scholles Lima,13,True,Unknown
Mary J. Blige,Unknown,1,"Martin ""Kendu"" Isaacs",15,False,Unknown
T.I.,Unknown,1,Tameka Cottle,11,True,Unknown
Ne-Yo,Unknown,1,Crystal Renay Williams,5,True,Unknown
J. Cole,Unknown,1,Melissa Heholt,6,True,Unknown
Juan Luis Guerra,Unknown,1,Nora Clementina Altagracia Vega Rasuk,41,True,Unknown
Ciara,Unknown,1,Russell Wilson,5,True,Unknown
